en	cn
Hi .	你好 。
Run .	你 用 跑 的 。
Wait !	等等 ！
Hello !	你好 。
I try .	让 我 来 。
I won !	我 赢 了 。
Oh no !	不会 吧 。
Cheers !	干杯 !
Got it ?	你 懂 了 吗 ？
He ran .	他 跑 了 。
The system worked .	系统 运行 起来 了 。
The truck is gone .	货车 走 了 。
The worst is over .	最坏 的 已经 过去 了 。
There is a strike .	有 罢工 。
There is no water .	没有 水 。
They are at lunch .	他们 在 吃 午饭 。
They are very big .	他们 非常 大 。
They can't see me .	他们 看不见 我 。
They like to sing .	他们 都 喜欢 唱歌 。
They were worried .	他们 担心 。
I'm a little confused .	我 有 一点 困惑 了 。
I'm absolutely elated .	我 真是 欣喜若狂 。
I'm afraid of heights .	我 恐高 。
I'm afraid of spiders .	我怕 蜘蛛 。
I'm almost sure of it .	我 几乎 能 确定 。
I'm busy all the time .	我 总是 有事 。
I'm doing my homework .	我 正在 做 我 的 作业 。
I'm glad to hear that .	我 很 高兴 听到 这个 消息 。
I'm going to the bank .	我要 去 银行 了 。
I'm going to the park .	我 去 公园 。
I saw her clean the room .	我 看见 了 她 打扫 房间 。
I saw her enter the room .	我 看见 她 进 了 房间 。
I saw him reading a book .	我 看见 他 在读 一 本书 。
I see you found your bag .	我见 你 找到 了 你 的 包 。
I shouldn't have done it .	我本 不 应该 做 的 。
I signed the lease today .	我 今天 签了 租约 。
I spent 10 dollars on it .	我 在 这 东西 上花 了 十美元 。
I telephoned her at once .	我 立刻 打电话 给 她 。
I think I made a mistake .	我 认为 我犯 了 个 错 。
I think I'm going to cry .	我 想 我 要 哭 了 。
Both brothers are musicians .	两 兄弟 都 是 音乐家 。
Can I have something to eat ?	我 能些 吃 的 东西 吗 ？
Can you do that by yourself ?	你 自己 一个 人能 做 吗 ？
Can you feel the difference ?	你 能 感受 到 不同之处 吗 ？
China is an emerging market .	中国 是 一个 新兴 市场 。
Chinese is a tonal language .	汉语 是 一个 声调 语言 。
Choose your favorite racket .	选择 你 喜欢 的 球拍 。
Christmas is soon , isn't it ?	圣诞节 很快 就 到 了 ， 不是 吗 ？
Cooking takes too much time .	做饭 太 费时间 了 。
His explanation is not clear .	他 的 说明 并 不 清楚 。
I met her on campus yesterday .	我 昨天 在 校园 里 遇到 了 她 。
I mistook him for his brother .	我 把 他 误认为 是 他 的 兄弟 。
I must finish this work first .	我 必须 先 完成 这个 工作 。
I must get there by 9 o'clock .	我 必须 在 9 点前 到 那里 。
I must've mistyped the number .	我 一定 是 打错 号码 了 。
I need some help with my work .	我 在 我 的 工作 上 需要 一些 帮助 。
I need to exercise more often .	我 需要 更 经常 地 锻炼 。
I need to know what you think .	我 需要 知道 你 怎么 想 。
I often go downtown on Sunday .	我 常常 星期日 去 市中心 。
I often play tennis on Sunday .	我 常常 在 周日 打网球 。
Do you eat rice in your country ?	在 你们 国家 吃 米饭 吗 ？
Do you feel like going swimming ?	你 想 去 游泳 吗 ?
Do you get along with your boss ?	你 跟 老板 合得来 吗 ？
Do you go to school on Saturday ?	你 星期六 去 上学 吗 ？
Do you have any other questions ?	你 有 任何 其他 的 问题 吗 ？
Do you have anything for a cold ?	你 有 任何 治感冒 的 东西 吗 ?
Do you have anything to declare ?	你 有 任何 要 申报 的 东西 吗 ？
Do you have change for a dollar ?	你 有 零钱 换 一元 美金 吗 ？
Do you have school on Saturdays ?	你 星期六 要 上学 吗 ？
Do you know how to play mahjong ?	你 知道 怎么 打麻将 吗 ？
You shouldn't have paid the bill .	你 本来 不 应该 付账 的 。
You'd better consult your doctor .	你 最好 请教 你 的 医生 。
You'll find this map very useful .	你 会 发现 这张 地图 非常 有用 。
You're barking up the wrong tree .	你 白费力气 了 。
You're in better shape than I am .	你 的 体型 比 我 的 好 。
You're not even paying attention .	你 根本 没有 注意 。
You're old enough to know better .	你 年龄 足够 大 了 ， 该 了解 更 多 。
Your bicycle is better than mine .	你 的 脚踏车 比 我 的 好 。
Your parents loved you very much .	你 的 父母 很 爱 你 。
Your plan seems better than mine .	你 的 计划 似乎 比 我 的 好 。
I don't like early morning meetings .	我 不 喜欢 在 清晨 开 的 会议 。
I don't like the way you talk to me .	我 不 喜欢 你 和 我 说话 的 口气 。
I don't remember mailing the letter .	我 不 记得 寄过 信 了 。
I don't understand its significance .	我 没有 领会 这个 意义 。
I don't want to be friends with you .	我 不想 跟 你 交朋友 。
I don't want to hear about it again .	我 不想 再 听到 这 事 。
I don't wash my hair in the morning .	我 早上 不 洗头 。
I feel like everybody's watching me .	我 感觉 大家 都 在 关注 我 。
I found this at the risk of my life .	我 冒 著 生命危险 找到 了 这个 。
I gather that they'll agree with us .	我 猜想 他们 会 同意 我们 的 。
Fools rush in where angels fear to tread .	天使 畏惧 处 , 愚人 敢 闯入 。
Fools rush in where angels fear to tread .	初生之犊不畏虎 。
Frankly speaking , I don't agree with you .	实话 说 ， 我 不 赞成 你 。
Give me a chance to make you proud of me .	给 我 机会 来 让 你 为 我 感到 自豪 。
Have you finished writing the letter yet ?	你 信写 完 了 吗 ？
He applied himself to the study of music .	他 潜心研究 音乐 。
He bent over backward to please his wife .	他 竭尽全力 地 讨好 他 老婆 。
He did everything he could for his child .	他 为 自己 的 孩子 能 做 的 都 做 了 。
He doesn't have any friends to play with .	他 没有 任何 朋友 玩 。
He froze with fear when he saw the snake .	他 看见 蛇 就 吓 得 不动 了 。
