src_text	tgt_text
Hi .	你好 。
Run .	你用跑的 。
Wait !	等等 ！
Hello !	你好 。
I try .	让我来 。
I won !	我赢了 。
Oh no !	不会吧 。
Cheers !	干杯 !
Got it ?	你懂了吗 ？
He ran .	他跑了 。
The system worked .	系统运行起来了 。
The truck is gone .	货车走了 。
The worst is over .	最坏的已经过去了 。
There is a strike .	有罢工 。
There is no water .	没有水 。
They are at lunch .	他们在吃午饭 。
They are very big .	他们非常大 。
They can't see me .	他们看不见我 。
They like to sing .	他们都喜欢唱歌 。
They were worried .	他们担心 。
I'm a little confused .	我有一点困惑了 。
I'm absolutely elated .	我真是欣喜若狂 。
I'm afraid of heights .	我恐高 。
I'm afraid of spiders .	我怕蜘蛛 。
I'm almost sure of it .	我几乎能确定 。
I'm busy all the time .	我总是有事 。
I'm doing my homework .	我正在做我的作业 。
I'm glad to hear that .	我很高兴听到这个消息 。
I'm going to the bank .	我要去银行了 。
I'm going to the park .	我去公园 。
I saw her clean the room .	我看见了她打扫房间 。
I saw her enter the room .	我看见她进了房间 。
I saw him reading a book .	我看见他在读一本书 。
I see you found your bag .	我见你找到了你的包 。
I shouldn't have done it .	我本不应该做的 。
I signed the lease today .	我今天签了租约 。
I spent 10 dollars on it .	我在这东西上花了十美元 。
I telephoned her at once .	我立刻打电话给她 。
I think I made a mistake .	我认为我犯了个错 。
I think I'm going to cry .	我想我要哭了 。
Both brothers are musicians .	两兄弟都是音乐家 。
Can I have something to eat ?	我能些吃的东西吗 ？
Can you do that by yourself ?	你自己一个人能做吗 ？
Can you feel the difference ?	你能感受到不同之处吗 ？
China is an emerging market .	中国是一个新兴市场 。
Chinese is a tonal language .	汉语是一个声调语言 。
Choose your favorite racket .	选择你喜欢的球拍 。
Christmas is soon , isn't it ?	圣诞节很快就到了 ， 不是吗 ？
Cooking takes too much time .	做饭太费时间了 。
His explanation is not clear .	他的说明并不清楚 。
I met her on campus yesterday .	我昨天在校园里遇到了她 。
I mistook him for his brother .	我把他误认为是他的兄弟 。
I must finish this work first .	我必须先完成这个工作 。
I must get there by 9 o'clock .	我必须在9点前到那里 。
I must've mistyped the number .	我一定是打错号码了 。
I need some help with my work .	我在我的工作上需要一些帮助 。
I need to exercise more often .	我需要更经常地锻炼 。
I need to know what you think .	我需要知道你怎么想 。
I often go downtown on Sunday .	我常常星期日去市中心 。
I often play tennis on Sunday .	我常常在周日打网球 。
Do you eat rice in your country ?	在你们国家吃米饭吗 ？
Do you feel like going swimming ?	你想去游泳吗 ?
Do you get along with your boss ?	你跟老板合得来吗 ？
Do you go to school on Saturday ?	你星期六去上学吗 ？
Do you have any other questions ?	你有任何其他的问题吗 ？
Do you have anything for a cold ?	你有任何治感冒的东西吗 ?
Do you have anything to declare ?	你有任何要申报的东西吗 ？
Do you have change for a dollar ?	你有零钱换一元美金吗 ？
Do you have school on Saturdays ?	你星期六要上学吗 ？
Do you know how to play mahjong ?	你知道怎么打麻将吗 ？
You shouldn't have paid the bill .	你本来不应该付账的 。
You'd better consult your doctor .	你最好请教你的医生 。
You'll find this map very useful .	你会发现这张地图非常有用 。
You're barking up the wrong tree .	你白费力气了 。
You're in better shape than I am .	你的体型比我的好 。
You're not even paying attention .	你根本没有注意 。
You're old enough to know better .	你年龄足够大了 ， 该了解更多 。
Your bicycle is better than mine .	你的脚踏车比我的好 。
Your parents loved you very much .	你的父母很爱你 。
Your plan seems better than mine .	你的计划似乎比我的好 。
I don't like early morning meetings .	我不喜欢在清晨开的会议 。
I don't like the way you talk to me .	我不喜欢你和我说话的口气 。
I don't remember mailing the letter .	我不记得寄过信了 。
I don't understand its significance .	我没有领会这个意义 。
I don't want to be friends with you .	我不想跟你交朋友 。
I don't want to hear about it again .	我不想再听到这事 。
I don't wash my hair in the morning .	我早上不洗头 。
I feel like everybody's watching me .	我感觉大家都在关注我 。
I found this at the risk of my life .	我冒著生命危险找到了这个 。
I gather that they'll agree with us .	我猜想他们会同意我们的 。
Fools rush in where angels fear to tread .	天使畏惧处 , 愚人敢闯入 。
Fools rush in where angels fear to tread .	初生之犊不畏虎 。
Frankly speaking , I don't agree with you .	实话说 ， 我不赞成你 。
Give me a chance to make you proud of me .	给我机会来让你为我感到自豪 。
Have you finished writing the letter yet ?	你信写完了吗 ？
He applied himself to the study of music .	他潜心研究音乐 。
He bent over backward to please his wife .	他竭尽全力地讨好他老婆 。
He did everything he could for his child .	他为自己的孩子能做的都做了 。
He doesn't have any friends to play with .	他没有任何朋友玩 。
He froze with fear when he saw the snake .	他看见蛇就吓得不动了 。
